Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,company_text,job_state,age,python_yn,rstudio_yn,spark_yn,aws_yn,excel_yn,job_simp,seniority,desc_len,avg_salary,company_txt
Senior Data Scientist I,$97K - $131K (Glassdoor est.),"We have a message to get out: we’re growing. Fast. ALDI is one of the fastest-growing retailers in the nation, and we are charting an aggressive growth course to become one of the top 3 grocery retailers in the US. That’s why we need people dedicated to helping us connect with our new customers and keeping our current customers coming back for more! On our Marketing, Advertising and PR teams, you can do just that, showing the nation just what kind of company we are. With a thriving organization like ours, this can make for a rewarding career.
As a data scientist, you are a master at collecting, analyzing, and interpreting large and complex data sets. Your passion for turning raw data into meaningful insights and your ability to translate those insights into actionable business strategies make you an invaluable asset to any organization. We are seeking a talented and experienced data scientist to join our team and help us leverage the power of data to drive innovation and growth. If you are a creative problem-solver with a proven track record of using data to solve business challenges, we invite you to apply for this exciting opportunity.

: Full-Time",3.5,"ALDI
3.5","Aurora, IL",-1,10000+ Employees,1999,Company - Private,Grocery Stores,Retail & Wholesale,Unknown / Non-Applicable,-1,0,0,97,131,"ALDI
", IL,24,0,0,0,0,0,data scientist,senior,1168,114.0,ALDI
"Data Scientist, Product Analytics",Employer Provided Salary:$130K - $140K,"About Us:
Live experiences help people cross today’s digital divide and focus on what truly connects us – the here, the new, this once-in-a-lifetime moment that’s bringing us together. To fulfill Gametime’s mission of uniting the world through shared experiences, we make it easy for people to discover and access the live experiences that matter most.

With platforms on iOS, Android, mobile web and desktop supporting more than 25,000 events across the US and Canada, we are reimagining the event ticket industry in order to move at the speed of life.

Job Description:
We are looking for an organized, data-driven, and curious team player to work cross-functionally across the data, product, marketing, finance, and operations teams. As a Senior Data Analyst, you will support and inform various functions throughout the company to solve business-critical issues, specifically related to our product, features, etc. You will dive into user behavior data to provide insights which will impact major business decisions and own the maintenance of Gametime’s business intelligence reporting. The ideal candidate will be able to thrive in a fast-paced environment and able to adapt to changes within the business and the industry.",4.5,"Gametime United, Inc.
4.5",Remote,-1,51 to 200 Employees,2013,Company - Private,Ticket Sales,"Arts, Entertainment & Recreation",$25 to $100 million (USD),-1,0,1,130,140,"Gametime United, Inc.
", Remote,10,0,0,0,0,0,data scientist,na,1228,135.0,"Gametime United, Inc."
Data Scientist,Employer Provided Salary:$80K - $120K,"Meet MedPro Group. We’re an industry-leading Berkshire Hathaway insurance company with a passion for our clients and our team. We are hundreds of professionals with varied backgrounds and experience levels who came together to achieve one goal: protecting those who have made it their mission to serve and care for others. Never considered the insurance industry before? We think you should.

At MedPro, not only are we leading the medical malpractice industry in the application of Data Science and examination of novel data sets, we are also expanding the boundaries of Data Science itself. While a formal education in Data Science provides a good foundation, many business problems do not fit into a common schema. That does not stop us. We routinely develop novel solutions and deliver results. In fact, 10% of our time is spent researching ideas we believe will have a return on the work that we do. If you are interested in a continual pursuit of increased industry excellence, we would like to hear from you.

What We Look For...

Experienced practitioners who are passionate about data and applying the latest machine learning technology to solve business problems.
Self-starters interested in growing with the department and a strong desire to see projects from beginning to end.
Driven and genuinely curious people who can accomplish tasks without extensive direction.

In this role you will...

Design and build the tools that progress the company along its digital journey.
Utilize a vast amount of data to help develop a deep understanding of underwriting risk and medical malpractice claims severity.
Build common analytic platforms across our diverse businesses.
Build natural language models for medical data extraction and better claim insights.
Declare, create, and test new programs, methodologies, and software.
Develop and implement Machine Learning / Deep Learning models.
Lead the monitoring and maintenance of models.
Communication to all affected departments. This includes the creation of appropriate documents (PowerPoint presentations, etc.) to be used in the communication of predictive model results to the company.
Mentor lower level associates.
Practice teamwork, flexibility and adaptability, obsessive client focus, results orientation, decision making and critical thinking, effective communication.

What Skills You Need...


Research, modeling or actuarial experience required. Healthcare / medical malpractice experience is preferred
Strong understanding of insurance related modeling and data, as well as current tools (software, existing code, theory) and data manipulation techniques
Strong math skills, including a working knowledge of multivariate calculus, linear algebra, basic probabilistic and statistical concepts, and regression


Minimum 4+ years’ experience in Python/R scripting and manipulating data
Experience with Natural Language Processing/Text Mining or Healthcare
Experience in machine learning, including deep learning models
Ability to break down complex problems into simple tasks and elegant solutions


The ability to translate technical ideas into simple explanations to non-technical audiences
The ability to speak with precision and concision


Masters in Statistics or related field. A history of continued learning or accomplishment is preferred.
4+ years of technical experience with the above qualifications


Doctorate degree in Statistics or related field
Experience with multiple programming languages
Experience in linguistics or medical terminology
Experience with AWS Cloud services

Why Medpro?

MedPro Group’s mission is built on a century-old legacy of protecting those who protect others. From our roots in our hometown of Fort Wayne, Indiana, we've worked diligently to become the nation's premier healthcare liability coverage provider, currently insuring more than 300,000 customers. With that growth, we've built a significant presence in all 50 states. Our team works across the country to provide the best strategies to mitigate risk and preserve the reputations of those who have entrusted their good name to us. That passion – built on a foundation of a culture that values uncompromised integrity, obsessive client focus, great teamwork, and a long-term mindset – makes MedPro a preferred employer that many call their career home.

What’s in it for you?

Competitive salary and benefits package with medical, dental, and vision coverage day one.
Traditional and Roth 401k with company matching, fully vested immediately.
Continued education support and conference attendance.

MedPro Group is an Equal Opportunity Employer. The annual gross base salary range is $80,000 to $120,000. This range anticipates the low and high end of the salary for this position. Actual salaries will vary and are based on factors such as a candidate’s qualifications, skills and competencies. Salary is one component of MedPro’s total compensation and benefits package, which includes medical, vision and dental insurance options, life and accident insurance, 401(k), and short-term and long-term disability insurance. For a more detailed overview, visit our careers website at www.medpro.com/careers. #LI-Remote #LI-EH1",4.1,"MedPro Group
4.1",Remote,-1,1001 to 5000 Employees,1899,Subsidiary or Business Segment,Insurance Carriers,Insurance,$1 to $5 billion (USD),-1,0,1,80,120,"MedPro Group
", Remote,124,1,0,0,1,1,data scientist,na,5192,100.0,MedPro Group
Data Scientist 2,Employer Provided Salary:$87K - $145K,"About Dexcom:
Founded in 1999, Dexcom, Inc. provides continuous glucose monitoring technology to help patients and their clinicians better manage diabetes. Since our inception, we have focused on better outcomes for patients, caregivers, and clinicians by delivering solutions for people with diabetes - while empowering our community to take control of diabetes .
Meet the team:
At Dexcom our patient’s satisfaction is at the heart of everything we do. We strive to enable people to take control of their health. This enrichment of life also extends our patients friends, families and significant others. Our Operations Intelligence team plays an integral part in allowing the organization to achieve that goal. This requires a highly skilled candidate who moves fast, has an entrepreneurial spirit to create new solutions, a tenacity to get things done, will thrive in an environment of ambiguity and change, and can break down and solve complex problems. Joining our team will open you to a fun and professional work environment. You will get to partner cross-functionally across all organizations and each complex manufacturing processes that create the most accurate CGM on the market. You will have the ability to help design, analyze and improve our production systems to help achieve world class manufacturing. We are proud to foster a culture of personal and professional growth so come build your career with us!",3.8,"Dexcom
3.8","Mesa, AZ",-1,5001 to 10000 Employees,1999,Company - Public,Health Care Products Manufacturing,Manufacturing,$1 to $5 billion (USD),-1,0,1,87,145,"Dexcom
", AZ,24,0,0,0,0,0,data scientist,na,1422,116.0,Dexcom
Senior Data Scientist,Employer Provided Salary:$187K - $233K,"Waymo is an autonomous driving technology company with a mission to make it safe and easy for people and things to get where they’re going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Waymo Driver—The World’s Most Experienced Driver™—to improve everyone's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our fully autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 20 billion miles of simulation testing.
At Waymo, we are mission-driven and believe deeply in the opportunity of autonomous driving technology to improve mobility and make people's lives better. We are united by purpose and responsibility (for our employees and riders alike). We are looking for kind, committed, employees who have integrity, dream big, work together as one team and create a sense of belonging for one another that is the foundation of our culture. We want each team member to feel welcomed and included in every step of our exciting journey.",3.9,"Waymo
3.9","Mountain View, CA",-1,Unknown,2009,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,0,1,187,233,"Waymo
", CA,14,0,0,0,0,0,data scientist,senior,1214,210.0,Waymo
Data Scientist,$73K - $112K (Glassdoor est.),"Howmet Aerospace is a leading global provider of advanced engineered solutions for the aerospace and transportation industries. The Company’s primary businesses focus on jet engine components, aerospace fastening systems and titanium structural parts necessary for mission-critical performance and efficiency in aerospace and defense applications, as well as forged wheels for commercial transportation. Howmet Aerospace is transforming the next phase of more fuel-efficient, quieter aerospace engines and sustainable ground transportation.
For more information, visit www.howmet.com . Follow @howmet: Twitter , Instagram , Facebook , LinkedIn and YouTube .
The Data Scientist position will be officed at the Howmet Wichita Falls facility and work in a close cross-functional team environment. This position will Support the Howmet Structures business segment. Travel will be required 25 -50% to support this role.",3.1,"Howmet Aerospace
3.1","Wichita Falls, TX",-1,Unknown,1888,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1,0,0,73,112,"Howmet Aerospace
", TX,135,0,0,0,0,0,data scientist,na,914,92.5,Howmet Aerospace
Data Scientist I - Hybrid,Employer Provided Salary:$78K - $124K,"See yourself at Radian? We see you here too.
At Radian, we see you. For the person you are and the potential you hold. That’s why we’ve embraced a new way of working that lets our people across the country be themselves, be their best and be their boldest. Because when each of us is truly seen, each of us gives our best – and at Radian, we’ll give you our best right back.
Studies have shown that job seekers may hesitate to apply for jobs unless they meet every single qualification listed. We strive to see the potential in each applicant, so if you’re excited about this role but your experience or education level doesn’t align perfectly with every qualification in the job description, we encourage you to apply anyway. You may be just the right candidate for this or other roles.
See Yourself as a Data Scientist I, MIRS",4.2,"Radian
4.2","New York, NY",-1,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $5 billion (USD),-1,0,1,78,124,"Radian
", NY,46,0,0,0,0,0,data scientist,na,828,101.0,Radian
Data Scientist,$84K - $131K (Glassdoor est.),"[Insert short summary of role – approximately 1 paragraph]
What are we looking for?
Insert bulleted list of 2-4 most essential requirements- can also include here 1-3 'nice-to-haves', that are identified as non-essential
What will be your key responsibilities?
[Insert list of top 4 key responsibilities for the role]
What can you expect from Mars?
Work with over 130,000 like-minded and talented Associates, all guided by The Five Principles.",4.3,"Mars
4.3","Chicago, IL",-1,10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,84,131,"Mars
", IL,112,0,0,0,0,0,data scientist,na,443,107.5,Mars
Data Scientist,Employer Provided Salary:$120K - $145K,"Job Description:
Unleash your analytical and technical skills as a hands-on Data Scientist in our brand-new Data Science team. In this role, you’ll embark on an exhilarating journey where you’ll tackle a wide range of exciting challenges throughout our project’s entire lifecycle. From the initial phase of data sourcing and exploration to pivotal moments of model selection, validation, evaluation and deployment at scale, you’ll be at the forefront of it all.
As our Data Scientist, you’ll have the opportunity to build innovative data models, develop groundbreaking data products, and deliver remarkable analysis using vast datasets relevant to the health care system in the United States.
Join our extraordinary team of sharp, witty, and dedicated colleagues who are deeply passionate about data and improving patient access to healthcare. We’re looking for a seasoned professional who can effortlessly collaborate with business stakeholders, translate their needs into technical solutions, and bring those solutions to life.",3.5,"Phreesia Payment Services
3.5",Remote,-1,501 to 1000 Employees,2005,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1,0,1,120,145,"Phreesia Payment Services
", Remote,18,0,0,0,0,0,data scientist,na,1029,132.5,Phreesia Payment Services
Data Scientist,Employer Provided Salary:$116K - $184K,"Duties
WHAT IS THE ONLINE SERVICE (OLS)DIVISION?
A description of the business units can be found at: https://www.jobs.irs.gov/about/who/business-divisions


The following are the duties of this position at the full working level. If this vacancy includes more than one grade and you are selected at a lower grade level, you will have the opportunity to learn to perform these duties and receive training to help you grow in this position.
Participates as a Senior Data Scientist in the advanced analytics projects undertaken; defining, approving, coordinating, evaluating, and analyzing team performance with responsibility for resolving gaps, conflicts and the day-to-day performance of the team assigned; driving the team toward the desired outcomes of projects. This includes getting signoffs on project documentation, participating in code reviews, and coordinating and getting project delivery acceptance. Leads verbal and written communications with business partners at all levels to clearly articulate the approach and the findings of interpretable analytical models and ensure that outcomes of the project are fully understood and to provide trainings on complex analytics solutions. Consults with senior level managers, executives, and a variety of other technical and nontechnical staff within OLS and across the IRS as required for specific policy interpretations and translation of technical problems and conditions. Responsible for constantly holding the picture of OLS and the IRS's drive for digital and cultural transformation to a customer-centric orientation with a data and analytics emphasis by improving the overall data and analytics environment while being pragmatic and agile and in synch with the needs of the business at all times. Responsible for the growth of data in the OLS data and reporting environment by leading the certification of data sets available for reporting, collaborating with IRS information technology leaders on desired new technologies and techniques to create efficient process around data extraction, loading, transformation, governance, and cataloguing for better and reduced time to insights for the busines",3.5,"US Internal Revenue Service
3.5","Huntsville, AL",-1,Unknown,1862,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,-1,0,1,116,184,"US Internal Revenue Service
", AL,161,0,0,0,0,0,data scientist,na,2161,150.0,US Internal Revenue Service
Sr Data Scientist,Employer Provided Salary:$140K - $180K,"Sr Data Scientist
US-Remote
Our best employees are collaborative and selfless. They enjoy working on data but they prioritize mentoring and supporting others. They are involved in the full lifecycle of data science: understanding the problem, investigating the data, building the model, testing the model, testing the integration, deploying it to production, and monitoring the deployment. They are fully engaged in the problem domain.
We see it as a prerequisite that candidates possess and demonstrate a desire to lead from the front in improving a supportive, empathetic team; we expect candidates to be trusted and beloved by their teammates such that they become technical and emotional anchors for the rest of the team and department.",4.3,"Flashpoint
4.3","New York, NY",-1,201 to 500 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,1,140,180,"Flashpoint
", NY,13,0,0,0,0,0,data scientist,senior,740,160.0,Flashpoint
Junior Data Scientist,Employer Provided Salary:$55K - $60K,"Brookfield, WI, USA
Summary:
Hiring Fresher to 1 year experience in Data Science, ML with python and strong analytical skills with a passion to take part in R&D.
About AugRay:
Augray is on a mission to build next generation method of communication using Extended Reality – XR (AR/ VR/ MR) technologies and change the way businesses re conducted and how interactions happen with people. In an age where innovation is happening all around us, there’s commonality – people are driving these changes. We offer a solution that helps to articulate product demonstration and how people conversation takes place using smartphones and wearable glasses.",3.9,"Augray
3.9","Brookfield, WI",-1,51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,1,55,60,"Augray
", WI,9,1,0,0,0,0,data scientist,na,643,57.5,Augray
Sr. Data Scientist,$92K - $137K (Glassdoor est.),"Sr. Data Scientist
Job ID
10050743
Location
Celebration, Florida, United States
Business
Disney Parks, Experiences and Products
Date posted
May 24, 2023
Job Summary:
“We create happiness.” That’s our motto at Walt Disney Parks and Resorts. And it permeates everything we do. At Disney, you’ll help encourage that magic by enabling our teams to push the limits of entertainment and build the never-before-seen! Are you ready to join this team and make your impact?",3.9,"Disney
3.9","Celebration, FL",-1,10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),-1,0,0,92,137,"Disney
", FL,100,0,0,0,0,0,data scientist,senior,463,114.5,Disney
"Data Scientist, Product Analytics",Employer Provided Salary:$134K - $194K,"As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Oculus). By applying your technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Research, Data Engineering, Marketing, Sales, Finance and others. You will use data and analysis to identify and solve product development’s biggest challenges. You will influence product strategy and investment decisions with data, be focused on impact, and collaborate with other teams. By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and Meta. You will help your partner teams prioritize what to build, set goals, and understand their product’s ecosystem.Analytics: You will guide teams using data and insights. You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches to test them.Communication and influence: You won’t simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner.",3.9,"Facebook App
3.9",Remote,-1,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1,0,1,134,194,"Facebook App
", Remote,19,0,0,0,0,0,data scientist,na,1858,164.0,Facebook App
Data Scientist I,Employer Provided Salary:$95K,"Overview:
Now is the time to join us!
At Virgin Pulse we value and celebrate diversity and we are committed to creating an inclusive environment for all employees. We believe in creating teams made up of individuals with various backgrounds, experiences, and perspectives. Why? Because diversity inspires innovation, collaboration, and challenges us to produce better solutions. But more than this, diversity is our strength, and a catalyst in our ability to #changelivesforgood.
Responsibilities:
Who are you?
You are a Data Scientist who will hit the ground running to support the organization's efforts to drive personalization and targeted intervention in the health engagement SaaS industry. You have a solid statistical and modeling skill set and the technical tools to complete projects end to end. This role will be responsible for preparing datasets, building predictive machine learning models, and optimizing model performance. We are looking for someone who is self-directed and thrives working in a fast-paced, collaborative environment in which expectations are high both for the quality and speed of work. A successful candidate will have a hunger for continuous learning, a desire to grow and lead, and strong interpersonal relationship skills.




Qualifications:",3.4,"VirginPulse
3.4",Remote,-1,501 to 1000 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),-1,0,1,95,95,"VirginPulse
", Remote,19,0,0,0,0,0,data scientist,na,1280,95.0,VirginPulse
Data Scientist,$79K - $122K (Glassdoor est.),"Career Area:
Information Analytics
Job Description:
We have an exciting position open within Caterpillar as a Data Scientist for the Earthmoving Division, a multi-billion dollar division. In this role, you will have the opportunity to be part of the team that develops analytical tools to help provide valuable financial insights to Senior Leadership
Areas of responsibility include:
Responsible for large datasets and data modeling.
Relocation is available for this position.",4.0,"Caterpillar
4.0","Peoria, IL",-1,10000+ Employees,1925,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,79,122,"Caterpillar
", IL,98,0,0,0,0,0,data scientist,na,476,100.5,Caterpillar
"Data Scientist, Product",Employer Provided Salary:$160K - $255K,"About Us:
We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.
We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.

Notion is an in person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).",4.8,"Notion
4.8","New York, NY",-1,201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,1,160,255,"Notion
", NY,7,0,0,0,0,0,data scientist,na,966,207.5,Notion
Data Scientist,Employer Provided Salary:$114K - $164K,"At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
Boeing Global Services (BGS) is seeking an Experienced Data Scientist to support our business in Mesa, AZ or Hazelwood, MO or Tukwila, WA
This organization supports BGS-Government Planning and the data analyst will apply statistical and other analytics techniques to assist with producing within the fast pace environment of aerospace.

U.S. Government Export Control Status: This position must meet export control compliance requirements. To meet export control compliance requirements, a “U.S. Person” as defined by 22 C.F.R. §120.15 is required. “U.S. Person” includes U.S. Citizen, lawful permanent resident, refugee, or asylee.

US based job, US Person required",3.9,"BOEING
3.9","Mesa, AZ",-1,10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,1,114,164,"BOEING
", AZ,107,0,0,0,0,0,data scientist,na,1064,139.0,BOEING
Junior Data Scientist (remote),Employer Provided Salary:$90K - $110K,"Junior Data Scientist (remote)

Imagine a workplace that encourages you to interpret, innovate and inspire. Our employees do just that by helping healthcare payers manage the cost of care, improve competitiveness and inspire positive change. You can be part of an established company with a 40-year legacy that helps our customers thrive by interpreting our client's needs and tailoring innovative healthcare cost management solutions.

Our commitment to diversity, inclusion and belonging are part of the fabric of our company. We strive to create a workplace that fosters mutual respect and collaboration, where every talent individual can participate and perform their best work. We are MultiPlan and we are where bright people come to shine!",3.8,"MultiPlan Inc.
3.8",Remote,-1,1001 to 5000 Employees,1980,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1,0,1,90,110,"MultiPlan Inc.
", Remote,43,0,0,0,0,0,data scientist,na,745,100.0,MultiPlan Inc.
Jr. Data Scientist,$65K - $104K (Glassdoor est.),"Job Type: Full Time
We are looking for Jr. Data Scientists to join our team.
Kyla is the next generation of healthcare tech. Our mission is to help people live longer and healthier. With the latest AI technologies, we provide the best digital healthcare for everyone. We have several digital products such as mobile app, and three web applications for companies and doctors. We work with Fortune 500 companies. Our solutions are used by thousands, and recently we won the Exceptional Innovation By The 2020 Pandemic Tech Innovation Awards. Our team is bright minds who love their job and development and are not afraid of working in a fast-growing lean startup.
If you would like to join us, do not hesitate to apply.
Required skills:",3.5,"Kyla
3.5","San Jose, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,65,104,"Kyla
", CA,-1,0,0,0,0,0,data scientist,jr,734,84.5,Kyla
Data Scientist (L5) - Ads,$102K - $170K (Glassdoor est.),"Los Angeles, California
Data Science and Engineering
At Netflix, we seek to entertain the world. We have more than 200 million members in 190 countries, reflecting that great stories can come from anywhere and be loved everywhere.

In April 2022, we announced that we are creating a new lower-priced, ad-supported tier for our customers. We are now working toward our goal of providing more choice for consumers and a premium, better-than-linear TV brand experience for advertisers. That said, we are looking for the founding members of this new business area for Netflix!

The Ads Data Science and Engineering team at Netflix’s mission is to help build the foundation of the ads business at Netflix. We conduct analyses and develop analytic tools, build predictive models and algorithms using machine learning, all with the goal of creating more choices and joy for our members. You’ll work closely with partner teams to build workflows, provide recommendations and drive success on end-to-end analytics initiatives in this 0 -1 space.",4.3,"Netflix
4.3","Los Angeles, CA",-1,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),-1,0,0,102,170,"Netflix
", CA,26,0,0,0,0,0,data scientist,na,1036,136.0,Netflix
Data Scientist,Employer Provided Salary:$78K - $184K,"Data science at the National Security Agency (NSA) is a multi-disciplinary field that uses elements of mathematics, statistics, computer science, and application-specific knowledge to gather, make, and communicate principled conclusions from data. Data science is present in every aspect of the mission. NSA Data Scientists tackle challenging real-world problems leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. We are looking for critical thinkers, problem solvers, and motivated individuals who are enthusiastic about data and believe that answers to hard questions lie in the yet-to-be-told story of diverse, complicated data sets. You will employ your mathematical science, computer science, and quantitative analysis skills to develop solutions to complex data problems and take full advantage of NSA's capabilities to tackle the highest priority foreign intelligence and cybersecurity challenges. As a Data Scientist, your responsibilities may include: - Exploratory data analysis and exploratory model-fitting to reveal data features of interest - Machine-learned predictive modeling - Construct usable data sets from multiple sources to meet customer needs - Identifying and analyzing anomalous data (including metadata) - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states. - Performing analytic modeling, scripting, and/or programming - Working collaboratively and iteratively throughout the data-science lifecycle - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations.",3.7,"National Security Agency
3.7","Fort Meade, MD",-1,Unknown,1962,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,-1,0,1,78,184,"National Security Agency
", MD,61,0,0,0,0,0,data scientist,na,1886,131.0,National Security Agency
Data Scientist,Employer Provided Salary:$55.00 - $65.00 Per Hour,"Job Description-
Design, develop, optimize, and maintain Cloud Data Platform (Azure) pipelines that adhere to ETL principles and business goals
Experience with dimensional modelling, ETL, reporting tools, data governance, data warehousing, structured and unstructured data to solve complex data problems
Experience working on large production SAP/NoSQL clusters on premise or using Cloud services
Technical design and development activities for implementation of large-scale data solutions in Snowflake to support multiple use cases as part of modern and unified data platform.",-1.0,NLB Technology Services,Remote,-1,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,1,1,110,130,NLB Technology Services, Remote,-1,0,0,0,0,0,data scientist,na,577,120.0,NLB Technology Services
Data Scientist - MPD,Employer Provided Salary:$76K - $104K,"Position Description
As the largest and most vibrant city in the state, Minneapolis depends on purposeful, dedicated and innovative employees. Minneapolis has a large variety of careers for people of all experiences and backgrounds who come together for a singular purpose - serving the residents, businesses and visitors of Minneapolis.

This position is charged with deep and sophisticated analyses of MPD and other data to determine insights, drive optimization, and lead applications of data science techniques. In addition, the Data Scientist - MPD will be expected to lead the presentation and translation of complex analyses to leaders (City Council committees, the Chief’s and Mayor’s offices, etc.), distilling in-depth analytical insights to an understandable and actionable recommendations.

This position regularly works onsite.",3.5,"City of Minneapolis
3.5","Minneapolis, MN",-1,1001 to 5000 Employees,1867,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,-1,0,1,76,104,"City of Minneapolis
", MN,156,0,0,0,0,0,data scientist,na,840,90.0,City of Minneapolis
"Data Scientist, USCAN MR",Employer Provided Salary:$108K - $135K,"Job Description Summary
As the Data Scientist for USCAN MRI, you will develop and deploy modern machine learning techniques, operational research, and statistical methods for finding structure in large MRI data sets to create customer facing analyses of procedure data, market share, and opportunity growth.

At GE Healthcare, our passionate people are creating the products, solutions and services our customers need to deliver the best patient care possible.
Job Description
Roles and Responsibilities",4.2,"GE Healthcare
4.2",Remote,-1,10000+ Employees,1892,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),-1,0,1,108,135,"GE Healthcare
", Remote,131,0,0,0,0,0,data scientist,na,503,121.5,GE Healthcare
Data Scientist,$84K - $127K (Glassdoor est.),"Mosaic Data Science, located in the Northern Virginia/Washington, DC Metro area,
encourages qualified data scientists to contact us regarding current full-time, salaried
consulting opportunities in the United States and Canada.
Mosaic Data Science is a dynamic, growing data science consultancy solving some of the
most complex and interesting problems in industry. At Mosaic you’ll contribute to data
science projects requiring a variety of analytical and business skills in many verticals,
including logistics, retail, utilities, healthcare, telecommunications, media, oil and gas, and
manufacturing. You’ll work with talented, creative, and self-motivated colleagues who hold
themselves to very high standards of professionalism and quality. You will have an
opportunity to interface directly with customers; part-time travel to customer sites may be
required. Telecommute options are available for experienced candidates. You can expect
your responsibilities to grow as quickly as you’re willing and able to meet them. You’ll enjoy
a fantastic benefits package that includes profit sharing and generous personal leave,
professional development opportunities, as well as first-rate healthcare and retirement
benefits. Most folks who join Mosaic stay here for a long time.


Bachelor’s degree or higher in applied math, statistics, operations research,
computer science, engineering, physics, cognitive science, or a related field;
Master’s/PhD preferred
Working knowledge of statistics, machine learning, optimization, data visualization,
computer programming, and database systems
Practical experience with R or Python and relevant data manipulation, visualization,
and machine learning libraries
1+ years of experience applying technical skills to real-world business problems
Strong written and verbal communication skills, a high level of professionalism, and
a positive & collaborative approach
Willingness and ability to learn new skills and tools quickly on the job
Must be a US or Canadian Citizen or Permanent Resident
All qualified applicants will receive consideration for employment and will not be
discriminated against on the basis of race, color, religion, sex, sexual orientation, gender
identity, national origin, age, disability, or protected veteran status. Mosaic Data Science
takes affirmative action in support of its policy to employ and advance in employment
individuals who are minorities, women, protected veterans, and individuals with disabilities.
www.mosaicdatascience.com",5.0,"Mosaic Data Science
5.0","Leesburg, VA",-1,51 to 200 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,0,84,127,"Mosaic Data Science
", VA,-1,1,0,0,0,0,data scientist,na,2505,105.5,Mosaic Data Science
